Language,R,G,B,Hex
C,85,85,85,#555
C#,23,134,0,#178600
C++,243,74,124,#f34b7d
CoffeeScript,36,70,118,#244776
CSS,102,50,153,#639
Dart,0,180,170,#00b4ab
DM,68,114,100,#447265
Elixir,109,74,126,#6e4a7e
Go,0,172,216,#00add8
Groovy,66,152,184,#4298b8
HTML,227,76,37,#e34c26
Java,176,113,24,#b07219
JavaScript,240,223,90,#f1e05a
Kotlin,168,123,255,#a97bff
Objective-C,66,141,255,#438eff
Perl,1,151,195,#0298c3
PHP,79,93,149,#4f5d95
PowerShell,0,35,86,#012456
Python,53,114,165,#3572a5
Ruby,112,21,22,#701516
Rust,222,164,131,#dea584
Scala,194,45,64,#c22d40
Shell,136,223,81,#89e051
Swift,240,81,55,#f05138
TypeScript,48,120,198,#3178c6
1C Enterprise,128,75,204,#814ccc
2-Dimensional Array,56,118,28,#38761d
4D,0,65,137,#004289
ABAP,232,39,74,#e8274b
ABAP CDS,84,94,37,#555e25
AGS Script,185,217,255,#b9d9ff
AIDL,52,235,107,#34eb6b
AL,57,162,181,#3aa2b5
ALGOL,209,224,219,#d1e0db
AMPL,229,238,187,#e6efbb
ANTLR,157,195,255,#9dc3ff
API Blueprint,41,204,167,#2acca8
APL,90,129,100,#5a8164
ASP.NET,147,0,255,#9400ff
ATS,26,197,32,#1ac620
ActionScript,136,42,15,#882b0f
Ada,1,248,139,#02f88c
Adblock Filter List,128,0,0,#800000
Adobe Font Metrics,250,15,0,#fa0f00
Agda,48,86,101,#315665
Aiken,99,15,247,#640ff8
Alloy,100,200,0,#64c800
Alpine Abuild,12,88,127,#0d597f
Altium Designer,168,150,98,#a89663
AngelScript,198,214,220,#c7d7dc
Answer Set Programming,168,204,40,#a9cc29
Ant Build System,169,21,125,#a9157e
Antlers,254,38,157,#ff269e
ApacheConf,209,32,38,#d12127
Apex,23,150,192,#1797c0
Apollo Guidance Computer,10,61,145,#0b3d91
AppleScript,16,30,31,#101f1f
Arc,169,42,253,#aa2afe
AsciiDoc,115,160,196,#73a0c5
AspectJ,168,86,176,#a957b0
Assembly,109,76,19,#6e4c13
Astro,255,90,2,#ff5a03
Asymptote,255,0,0,#f00
Augeas,156,193,51,#9cc134
AutoHotkey,101,147,185,#6594b9
AutoIt,28,53,82,#1c3552
Avro IDL,0,64,255,#0040ff
Awk,195,14,154,#c30e9b
B (Formal Method),137,168,197,#8aa8c5
B4X,0,228,255,#00e4ff
BAML,168,84,247,#a855f7
BASIC,255,0,0,#f00
BQN,43,112,103,#2b7067
Ballerina,255,79,0,#ff5000
Batchfile,192,240,46,#c1f12e
Beef,165,47,77,#a52f4e
Berry,21,161,60,#15a13c
BibTeX,119,135,153,#789
Bicep,81,153,185,#519aba
Bikeshed,85,98,171,#5562ac
Bison,106,70,63,#6a463f
BitBake,0,187,228,#00bce4
Blade,247,82,63,#f7523f
BlitzBasic,0,255,173,#00ffae
BlitzMax,205,100,0,#cd6400
Bluespec,18,34,60,#12223c
Bluespec BH,18,34,60,#12223c
Boo,212,190,193,#d4bec1
Boogie,200,15,159,#c80fa0
Brainfuck,47,37,48,#2f2530
BrighterScript,101,170,187,#6ab
Brightscript,101,45,145,#662d91
Browserslist,255,213,57,#ffd539
Bru,244,170,65,#f4aa41
BuildStream,0,106,255,#006bff
C3,36,98,235,#2563eb
CAP CDS,0,145,209,#0092d1
CLIPS,0,163,0,#00a300
CMake,218,52,52,#da3434
COLLADA,241,164,42,#f1a42b
CQL,0,96,145,#006091
CSON,36,70,118,#244776
CSV,35,115,70,#237346
CUE,88,134,225,#5886e1
CWeb,0,0,122,#00007a
Cabal Config,71,52,101,#483465
Caddyfile,34,181,56,#22b638
Cadence,0,239,139,#00ef8b
Cairo,255,74,71,#ff4a48
Cairo Zero,255,74,71,#ff4a48
CameLIGO,58,225,50,#3be133
Cangjie,0,134,139,#00868b
Cap'n Proto,196,39,39,#c42727
Carbon,34,34,34,#222
Ceylon,223,164,52,#dfa535
Chapel,141,198,62,#8dc63f
ChucK,62,128,0,#3f8000
Circom,112,116,116,#707575
Cirru,204,204,254,#ccf
Clarion,219,144,30,#db901e
Clarity,85,69,255,#5546ff
Classic ASP,105,64,252,#6a40fd
Clean,63,133,175,#3f85af
Click,227,230,243,#e4e6f3
Clojure,219,87,85,#db5855
Closure Templates,13,148,143,#0d948f
Cloud Firestore Security Rules,255,159,0,#ffa000
Clue,0,9,181,#0009b5
CodeQL,20,15,70,#140f46
ColdFusion,237,44,213,#ed2cd6
ColdFusion CFC,237,44,213,#ed2cd6
Common Lisp,63,182,139,#3fb68b
Common Workflow Language,181,48,75,#b5314c
